Node Label    RF	.Magnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
245	0	0	0	0	31,9627	3,84E-02	31,9624	1,17E-01
246	0	0	0	0	32,5741	4,08E-02	32,5738	1,14E-01
247	0	0	0	0	33,2078	4,31E-02	33,2076	1,09E-01
248	0	0	0	0	33,8605	4,51E-02	33,8603	1,04E-01
249	0	0	0	0	34,5307	4,69E-02	34,5306	9,86E-02
250	0	0	0	0	35,2179	4,84E-02	35,2178	9,51E-02
251	0	0	0	0	35,912	5,02E-02	35,9118	8,74E-02
252	0	0	0	0	36,6239	5,21E-02	36,6238	8,05E-02
253	0	0	0	0	37,3498	5,36E-02	37,3497	7,58E-02
254	0	0	0	0	38,0884	5,49E-02	38,0883	6,88E-02
255	0	0	0	0	38,8374	5,59E-02	38,8373	6,22E-02
256	0	0	0	0	39,597	5,67E-02	39,5969	5,69E-02
257	0	0	0	0	40,3606	5,79E-02	40,3605	4,90E-02
258	0	0	0	0	41,135	5,90E-02	41,135	4,15E-02
259	0	0	0	0	41,9159	5,98E-02	41,9159	3,55E-02
260	0	0	0	0	42,7038	6,04E-02	42,7038	2,78E-02
261	0	0	0	0	43,4953	6,07E-02	43,4952	2,12E-02
262	0	0	0	0	44,2901	6,08E-02	44,2901	1,37E-02
263	0	0	0	0	45,0855	6,07E-02	45,0854	6,63E-03
264	0	0	0	0	26,5658	1,77995	20,3	17,0435
265	0	0	0	0	22,035	9,12E-01	20,3	8,52177
266	0	0	0	0	21,0532	4,32E-02	21,0531	-5,08E-03
267	0	0	0	0	21,8064	4,32E-02	21,8063	-1,02E-02
268	0	0	0	0	22,5596	4,32E-02	22,5596	-1,52E-02
269	0	0	0	0	23,3128	4,32E-02	23,3128	-2,03E-02
270	0	0	0	0	24,0661	4,32E-02	24,066	-2,54E-02
271	0	0	0	0	26,2475	9,12E-01	24,8193	8,49123
272	0	0	0	0	30,1431	1,78018	24,8193	17,0129
273	0	0	0	0	26,5601	-1,69357	20,3	-17,0435
274	0	0	0	0	22,0316	-8,25E-01	20,3	-8,52177
275	0	0	0	0	19,5256	4,32E-02	19,5255	6,63E-03
276	0	0	0	0	18,7307	4,29E-02	18,7307	1,26E-02
277	0	0	0	0	17,936	4,25E-02	17,936	1,98E-02
278	0	0	0	0	17,1451	4,22E-02	17,145	2,78E-02
279	0	0	0	0	16,3535	4,19E-02	16,3534	3,64E-02
280	0	0	0	0	15,5721	4,16E-02	15,572	4,43E-02
281	0	0	0	0	14,7977	4,12E-02	14,7975	5,14E-02
282	0	0	0	0	14,0362	4,09E-02	14,036	5,69E-02
283	0	0	0	0	13,2748	4,02E-02	13,2746	6,24E-02
284	0	0	0	0	12,5264	3,94E-02	12,5261	6,91E-02
285	0	0	0	0	11,7854	3,86E-02	11,7851	7,66E-02
286	0	0	0	0	11,0597	3,78E-02	11,0593	8,41E-02
287	0	0	0	0	10,3473	3,69E-02	10,3468	9,04E-02
288	0	0	0	0	9,65618	3,62E-02	9,65564	9,51E-02
289	0	0	0	0	8,9672	3,52E-02	8,96658	9,93E-02
290	0	0	0	0	8,29721	3,38E-02	8,29648	1,05E-01
291	0	0	0	0	7,64658	3,26E-02	7,64572	1,10E-01
292	0	0	0	0	7,009	3,12E-02	7,00796	1,17E-01
293	0	0	0	0	6,39569	3,00E-02	6,39445	1,22E-01
294	0	0	0	0	5,80487	2,86E-02	5,80342	1,27E-01
295	0	0	0	0	5,24608	2,75E-02	5,24442	1,29E-01
296	0	0	0	0	4,69087	2,60E-02	4,68896	1,31E-01
297	0	0	0	0	4,165	2,41E-02	4,16276	1,34E-01
298	0	0	0	0	3,66703	2,25E-02	3,66437	1,38E-01
299	0	0	0	0	3,18972	2,04E-02	3,1865	1,42E-01
300	0	0	0	0	2,74441	1,88E-02	2,74053	1,45E-01
301	0	0	0	0	2,33021	1,69E-02	2,32552	1,47E-01
302	0	0	0	0	1,95856	1,53E-02	1,953	1,47E-01
303	0	0	0	0	1,5903	1,34E-02	1,58352	1,46E-01
304	0	0	0	0	1,26697	1,10E-02	1,25844	1,46E-01
305	0	0	0	0	9,71E-01	8,74E-03	9,60E-01	1,47E-01
306	0	0	0	0	7,21E-01	6,46E-03	7,05E-01	1,48E-01
307	0	0	0	0	5,05E-01	4,13E-03	4,83E-01	1,47E-01
308	0	0	0	0	8,38587	-1,40E-01	3,14E-01	-8,37883
309	0	0	0	0	16,9071	-2,82E-01	3,14E-01	-16,9018
310	0	0	0	0	30,1726	-1,69379	24,8193	-17,0739
311	0	0	0	0	26,2644	-8,25E-01	24,8193	-8,55217
312	0	0	0	0	8,67409	1,44E-01	3,14E-01	8,66721
313	0	0	0	0	17,1955	2,87E-01	3,14E-01	17,1902
314	0	0	0	0	25,6938	2,93E-01	1,84E-01	25,6915
315	0	0	0	0	25,645	1,62E-01	1,32E-01	25,6442
316	0	0	0	0	25,6163	1,53E-02	6,57E-02	25,6162
317	0	0	0	0	25,6324	-1,38E-01	3,83E-02	25,632
318	0	0	0	0	17,111	-2,10E-01	1,05E-34	17,1097
319	0	0	0	0	8,5555	-1,05E-01	1,05E-34	8,55485
320	0	0	0	0	5,27E-02	5,39E-05	-4,81E-02	2,15E-02
321	0	0	0	0	6,77E-02	6,03E-05	-2,92E-02	6,11E-02
322	0	0	0	0	1,10E-01	1,41E-04	4,51E-02	1,01E-01
323	0	0	0	0	2,21E-01	1,68E-04	1,84E-01	1,22E-01
324	0	0	0	0	25,166	-2,91E-01	-7,37114	24,0605
325	0	0	0	0	26,8645	-2,66E-01	-14,7423	22,4565
326	0	0	0	0	30,3955	-2,42E-01	-22,1134	20,8524
327	0	0	0	0	35,212	-2,18E-01	-29,4846	19,2484
328	0	0	0	0	40,862	-1,93E-01	-36,8557	17,6444
329	0	0	0	0	47,0461	-1,69E-01	-44,2268	16,0403
330	0	0	0	0	53,5797	-1,44E-01	-51,598	14,4363
331	0	0	0	0	60,3493	-1,20E-01	-58,9691	12,8323
332	0	0	0	0	67,2838	-9,55E-02	-66,3403	11,2282
333	0	0	0	0	74,3371	-7,11E-02	-73,7114	9,62421
334	0	0	0	0	81,4782	-4,67E-02	-81,0826	8,02017
335	0	0	0	0	88,6861	-2,23E-02	-88,4537	6,41614
336	0	0	0	0	95,9456	2,13E-03	-95,8248	4,8121
337	0	0	0	0	103,246	2,65E-02	-103,196	3,20807
338	0	0	0	0	110,579	5,10E-02	-110,567	1,60403
339	0	0	0	0	117,92	9,61E-02	-117,92	3,04E-02
340	0	0	0	0	117,828	9,76E-02	-117,828	6,10E-02
341	0	0	0	0	117,591	9,59E-02	-117,591	9,15E-02
342	0	0	0	0	117,317	7,49E-02	-117,317	1,22E-01
343	0	0	0	0	109,852	3,87E-02	-109,842	-1,45388
344	0	0	0	0	102,544	7,81E-03	-102,498	-3,05194
345	0	0	0	0	95,268	-2,31E-02	-95,1545	-4,65001
346	0	0	0	0	88,0328	-5,40E-02	-87,8107	-6,24807
347	0	0	0	0	80,8487	-8,49E-02	-80,467	-7,84614
348	0	0	0	0	73,7308	-1,16E-01	-73,1233	-9,4442
349	0	0	0	0	66,7001	-1,47E-01	-65,7796	-11,0423
350	0	0	0	0	59,7876	-1,78E-01	-58,4359	-12,6403
351	0	0	0	0	53,0395	-2,08E-01	-51,0922	-14,2384
352	0	0	0	0	46,5272	-2,39E-01	-43,7485	-15,8365
353	0	0	0	0	40,3651	-2,70E-01	-36,4047	-17,4345
354	0	0	0	0	34,7401	-3,01E-01	-29,061	-19,0326
355	0	0	0	0	29,9562	-3,32E-01	-21,7173	-20,6307
356	0	0	0	0	26,4736	-3,63E-01	-14,3736	-22,2287
357	0	0	0	0	24,8453	-3,94E-01	-7,02989	-23,8268
358	0	0	0	0	49,7746	-7,45E-01	49,1331	-7,93052
359	0	0	0	0	47,9512	-1,47405	45,5019	-15,0573
360	0	0	0	0	44,9551	-2,05435	39,8461	-20,7131
361	0	0	0	0	40,8547	-2,42933	32,7193	-24,3443
362	0	0	0	0	25,8076	4,04E-01	8,21509	24,4618
363	0	0	0	0	25,8729	3,39E-01	15,3429	20,83
364	0	0	0	0	25,9089	2,41E-01	20,9996	15,1733
365	0	0	0	0	25,9124	1,20E-01	24,6314	8,04546
366	0	0	0	0	25,754	-1,61E-02	25,7537	1,22E-01
367	0	0	0	0	25,6511	-2,02E-02	25,6509	8,92E-02
368	0	0	0	0	25,6039	-2,19E-02	25,6038	6,09E-02
369	0	0	0	0	25,6037	-2,04E-02	25,6037	3,28E-02
370	0	0	0	0	25,6648	-1,13E-01	24,4084	7,93078
371	0	0	0	0	25,6653	-1,99E-01	20,7631	15,0852
372	0	0	0	0	25,6659	-2,65E-01	15,0852	20,7631
373	0	0	0	0	25,6664	-3,05E-01	7,93078	24,4084
374	0	0	0	0	110,579	9,04E-02	-110,567	-1,60403
375	0	0	0	0	103,246	1,05E-01	-103,196	-3,20807
376	0	0	0	0	95,9457	1,20E-01	-95,8248	-4,8121
377	0	0	0	0	88,6862	1,35E-01	-88,4537	-6,41614
378	0	0	0	0	81,4784	1,50E-01	-81,0826	-8,02017
379	0	0	0	0	74,3372	1,65E-01	-73,7114	-9,62421
380	0	0	0	0	67,284	1,80E-01	-66,3403	-11,2282
381	0	0	0	0	60,3495	1,95E-01	-58,9691	-12,8323
382	0	0	0	0	53,5799	2,10E-01	-51,598	-14,4363
383	0	0	0	0	47,0463	2,25E-01	-44,2268	-16,0403
384	0	0	0	0	40,8623	2,40E-01	-36,8557	-17,6444
385	0	0	0	0	35,2123	2,55E-01	-29,4846	-19,2484
386	0	0	0	0	30,3957	2,70E-01	-22,1134	-20,8524
387	0	0	0	0	26,8647	2,85E-01	-14,7423	-22,4565
388	0	0	0	0	25,1661	3,00E-01	-7,37114	-24,0605
389	0	0	0	0	25,5727	1,38E-01	3,84E-02	-25,5723
390	0	0	0	0	25,4942	-1,52E-02	6,56E-02	-25,4941
391	0	0	0	0	25,4605	-1,62E-01	1,32E-01	-25,4596
